CustomerID,Gender,Age,Age group,Annual Income ($),Spending Score (1-100),Profession,Work Experience,Work Level,No. of Family ,Familysize 
49,Female,29,Teenager,"$78,000 ",42,Healthcare,0,Entry Level,4,Mid Size
50,Female,31,Adult,"$25,000 ",42,Engineer,1,Entry Level,1,small Size
51,Female,49,Adult,"$88,000 ",52,Artist,1,Entry Level,2,small Size
52,Male,33,Adult,"$97,000 ",60,Artist,1,Entry Level,2,small Size
53,Female,31,Adult,"$74,000 ",54,Artist,1,Entry Level,1,small Size
54,Male,59,Senior,"$68,000 ",60,Entertainment,0,Entry Level,2,small Size
55,Female,50,Adult,"$18,000 ",45,Marketing,1,Entry Level,1,small Size
56,Male,47,Adult,"$95,000 ",41,Artist,14,Senior Level,2,small Size
57,Female,51,Senior,"$71,000 ",50,Healthcare,9,Mid Level,4,Mid Size
58,Male,69,Senior,"$8,000 ",46,Doctor,8,Mid Level,2,small Size
59,Female,27,Teenager,"$57,000 ",51,Artist,1,Entry Level,3,small Size
60,Male,53,Senior,"$89,000 ",46,Lawyer,1,Entry Level,6,Mid Size
61,Male,70,Senior,"$84,000 ",56,Artist,0,Entry Level,2,small Size
62,Male,19,Teenager,"$50,000 ",55,Artist,9,Mid Level,2,small Size
63,Female,67,Senior,"$50,000 ",52,Lawyer,0,Entry Level,3,small Size
64,Female,54,Senior,"$48,000 ",59,Lawyer,1,Entry Level,2,small Size
65,Male,63,Senior,"$63,000 ",51,Lawyer,7,Mid Level,2,small Size
66,Male,18,Teenager,"$9,000 ",59,Entertainment,0,Entry Level,2,small Size
67,Female,43,Adult,"$3,000 ",50,Doctor,0,Entry Level,2,small Size
68,Female,68,Senior,"$82,000 ",48,Artist,8,Mid Level,4,Mid Size
69,Male,19,Teenager,"$81,000 ",59,Artist,0,Entry Level,4,Mid Size
70,Female,32,Adult,"$97,000 ",47,Homemaker,2,Entry Level,2,small Size
71,Male,70,Senior,"$91,000 ",55,Healthcare,8,Mid Level,2,small Size
72,Female,47,Adult,"$9,000 ",42,Entertainment,8,Mid Level,2,small Size
73,Female,60,Senior,"$44,000 ",49,Artist,0,Entry Level,5,Mid Size
74,Female,60,Senior,"$10,000 ",56,Healthcare,8,Mid Level,4,Mid Size
75,Male,59,Senior,"$89,000 ",47,Artist,0,Entry Level,4,Mid Size
76,Male,26,Teenager,"$49,000 ",54,Homemaker,0,Entry Level,3,small Size
77,Female,45,Adult,"$67,000 ",53,Doctor,0,Entry Level,2,small Size
78,Male,40,Adult,"$99,000 ",48,Artist,4,Entry Level,3,small Size
79,Female,23,Teenager,"$97,000 ",52,Engineer,2,Entry Level,2,small Size
80,Female,49,Adult,"$98,000 ",42,Other,1,Entry Level,1,small Size
81,Male,57,Senior,"$52,000 ",51,Healthcare,0,Entry Level,4,Mid Size
82,Male,38,Adult,"$61,000 ",55,Healthcare,6,Mid Level,3,small Size
83,Male,67,Senior,"$120,000 ",41,Artist,8,Mid Level,1,small Size
84,Female,46,Adult,"$34,000 ",44,Entertainment,8,Mid Level,4,Mid Size
85,Female,21,Teenager,"$24,000 ",57,Marketing,1,Entry Level,3,small Size
86,Male,48,Adult,"$31,000 ",46,Healthcare,7,Mid Level,5,Mid Size
87,Female,55,Senior,"$11,000 ",58,Artist,0,Entry Level,3,small Size
88,Female,22,Teenager,"$55,000 ",55,Artist,5,Mid Level,2,small Size
89,Female,34,Adult,"$76,000 ",60,Entertainment,7,Mid Level,3,small Size
90,Female,50,Adult,"$56,000 ",46,Doctor,0,Entry Level,2,small Size
91,Female,68,Senior,"$46,000 ",55,Entertainment,0,Entry Level,3,small Size
92,Male,18,Teenager,"$36,000 ",41,Artist,1,Entry Level,4,Mid Size
93,Male,48,Adult,"$88,000 ",49,Artist,1,Entry Level,2,small Size
94,Female,40,Adult,"$31,000 ",40,Entertainment,1,Entry Level,2,small Size
95,Female,32,Adult,"$24,000 ",42,Artist,0,Entry Level,1,small Size
96,Male,24,Teenager,"$80,000 ",52,Artist,10,Senior Level,1,small Size
97,Female,47,Adult,"$2,000 ",47,Artist,0,Entry Level,1,small Size
98,Female,27,Teenager,"$67,000 ",50,Artist,0,Entry Level,2,small Size
99,Male,48,Adult,"$58,000 ",42,Doctor,1,Entry Level,2,small Size
100,Male,20,Teenager,"$80,000 ",49,Engineer,3,Entry Level,3,small Size
101,Female,23,Teenager,"$65,000 ",41,Artist,0,Entry Level,4,Mid Size
102,Female,49,Adult,"$4,000 ",48,Executive,1,Entry Level,7,Large size
103,Male,67,Senior,"$98,000 ",59,Artist,0,Entry Level,3,small Size
104,Male,26,Teenager,"$52,000 ",55,Executive,0,Entry Level,5,Mid Size
105,Male,49,Adult,"$86,000 ",56,Healthcare,10,Senior Level,2,small Size
106,Female,21,Teenager,"$82,000 ",42,Doctor,1,Entry Level,2,small Size
107,Female,66,Senior,"$43,000 ",50,Homemaker,3,Entry Level,2,small Size
108,Male,54,Senior,"$78,000 ",46,Lawyer,1,Entry Level,1,small Size
109,Male,68,Senior,"$13,000 ",43,Healthcare,6,Mid Level,5,Mid Size
110,Male,66,Senior,"$13,000 ",48,Healthcare,9,Mid Level,3,small Size
111,Male,65,Senior,"$34,000 ",52,Entertainment,4,Entry Level,4,Mid Size
112,Female,19,Teenager,"$25,000 ",54,Artist,0,Entry Level,1,small Size
113,Female,38,Adult,"$71,000 ",42,Doctor,1,Entry Level,5,Mid Size
114,Male,19,Teenager,"$2,000 ",46,Artist,1,Entry Level,1,small Size
115,Female,18,Teenager,"$97,000 ",48,Executive,0,Entry Level,3,small Size
116,Female,19,Teenager,"$51,000 ",50,Executive,8,Mid Level,4,Mid Size
117,Female,63,Senior,"$9,000 ",43,Lawyer,1,Entry Level,1,small Size
118,Female,49,Adult,"$79,000 ",59,Artist,0,Entry Level,2,small Size
119,Female,51,Senior,"$84,000 ",43,Other,2,Entry Level,7,Large size
120,Female,50,Adult,"$87,000 ",57,Artist,1,Entry Level,2,small Size
121,Male,27,Teenager,"$36,000 ",56,Executive,0,Entry Level,3,small Size
122,Female,38,Adult,"$50,000 ",40,Executive,1,Entry Level,4,Mid Size
123,Female,40,Adult,"$97,000 ",58,Engineer,9,Mid Level,4,Mid Size
124,Male,39,Adult,"$6,000 ",91,Healthcare,1,Entry Level,3,small Size
125,Female,23,Teenager,"$12,000 ",29,Entertainment,9,Mid Level,2,small Size
126,Female,31,Adult,"$46,000 ",77,Marketing,1,Entry Level,2,small Size
127,Male,43,Adult,"$89,000 ",35,Engineer,0,Entry Level,7,Large size
128,Male,40,Adult,"$4,000 ",95,Artist,0,Entry Level,2,small Size
129,Male,59,Senior,"$38,000 ",11,Engineer,0,Entry Level,2,small Size
130,Male,38,Adult,"$64,000 ",75,Entertainment,8,Mid Level,5,Mid Size
131,Male,47,Adult,"$66,000 ",9,Executive,9,Mid Level,5,Mid Size
132,Male,39,Adult,"$26,000 ",75,Lawyer,0,Entry Level,2,small Size
133,Female,25,Teenager,"$41,000 ",34,Healthcare,6,Mid Level,4,Mid Size
134,Female,31,Adult,"$45,000 ",71,Artist,5,Mid Level,1,small Size
135,Male,20,Teenager,"$89,000 ",5,Engineer,1,Entry Level,2,small Size
136,Female,29,Teenager,"$92,000 ",88,Executive,5,Mid Level,5,Mid Size
137,Female,44,Adult,"$76,000 ",7,Artist,5,Mid Level,2,small Size
138,Male,32,Adult,"$85,000 ",73,Artist,3,Entry Level,4,Mid Size
139,Male,19,Teenager,"$22,000 ",10,Marketing,8,Mid Level,4,Mid Size
140,Female,35,Adult,"$15,000 ",72,Artist,4,Entry Level,4,Mid Size
141,Female,57,Senior,"$32,000 ",5,Engineer,0,Entry Level,2,small Size
142,Male,32,Adult,"$66,000 ",93,Artist,0,Entry Level,5,Mid Size
143,Female,28,Teenager,"$62,000 ",40,Doctor,5,Mid Level,3,small Size
144,Female,32,Adult,"$85,000 ",87,Lawyer,1,Entry Level,2,small Size
145,Male,25,Teenager,"$71,000 ",12,Engineer,0,Entry Level,5,Mid Size
146,Male,28,Teenager,"$26,000 ",97,Marketing,8,Mid Level,5,Mid Size
147,Male,48,Adult,"$52,000 ",36,Engineer,9,Mid Level,2,small Size
148,Female,32,Adult,"$38,000 ",74,Lawyer,1,Entry Level,1,small Size
149,Female,34,Adult,"$51,000 ",22,Healthcare,7,Mid Level,4,Mid Size
150,Male,34,Adult,"$90,000 ",90,Artist,6,Mid Level,3,small Size
151,Male,43,Adult,"$30,000 ",17,Lawyer,0,Entry Level,9,Large size
152,Male,39,Adult,"$41,000 ",88,Engineer,0,Entry Level,1,small Size
153,Female,44,Adult,"$17,000 ",20,Engineer,0,Entry Level,2,small Size
154,Female,38,Adult,"$92,000 ",76,Artist,2,Entry Level,2,small Size
155,Female,47,Adult,"$80,000 ",16,Healthcare,0,Entry Level,4,Mid Size
156,Female,27,Teenager,"$10,000 ",89,Marketing,8,Mid Level,4,Mid Size
157,Male,37,Adult,"$16,000 ",1,Executive,1,Entry Level,1,small Size
158,Female,30,Adult,"$87,000 ",78,Artist,3,Entry Level,4,Mid Size
159,Male,34,Adult,"$66,000 ",1,Lawyer,1,Entry Level,2,small Size
160,Female,30,Adult,"$86,000 ",73,Artist,3,Entry Level,3,small Size
161,Female,56,Senior,"$9,000 ",35,Artist,1,Entry Level,1,small Size
162,Female,29,Teenager,"$50,000 ",83,Healthcare,1,Entry Level,5,Mid Size
163,Male,19,Teenager,"$35,000 ",5,Executive,0,Entry Level,5,Mid Size
164,Female,31,Adult,"$58,000 ",93,Healthcare,1,Entry Level,5,Mid Size
165,Male,50,Adult,"$47,000 ",26,Doctor,0,Entry Level,2,small Size
166,Female,36,Adult,"$54,000 ",75,Artist,5,Mid Level,3,small Size
167,Male,42,Adult,"$79,000 ",20,Homemaker,9,Mid Level,3,small Size
168,Female,33,Adult,"$83,000 ",95,Artist,0,Entry Level,5,Mid Size
169,Female,36,Adult,"$57,000 ",27,Artist,0,Entry Level,3,small Size
170,Male,32,Adult,$0 ,63,Artist,2,Entry Level,2,small Size
171,Male,40,Adult,"$69,000 ",13,Artist,3,Entry Level,5,Mid Size
172,Male,28,Teenager,"$4,000 ",75,Executive,0,Entry Level,2,small Size
173,Male,36,Adult,"$79,000 ",10,Lawyer,0,Entry Level,2,small Size
174,Male,36,Adult,"$99,000 ",92,Artist,5,Mid Level,2,small Size
175,Female,52,Senior,"$20,000 ",13,Lawyer,0,Entry Level,2,small Size
176,Female,30,Adult,"$28,000 ",86,Artist,3,Entry Level,4,Mid Size
177,Male,58,Senior,"$29,000 ",15,Engineer,11,Senior Level,1,small Size
178,Male,27,Teenager,"$45,000 ",69,Healthcare,2,Entry Level,6,Mid Size
179,Male,59,Senior,"$86,000 ",14,Healthcare,4,Entry Level,3,small Size
180,Male,35,Adult,"$42,000 ",90,Engineer,8,Mid Level,1,small Size
181,Female,37,Adult,"$59,000 ",32,Artist,7,Mid Level,2,small Size
182,Female,32,Adult,"$61,000 ",86,Entertainment,7,Mid Level,5,Mid Size
183,Male,46,Adult,"$11,000 ",15,Artist,7,Mid Level,1,small Size
184,Female,29,Teenager,"$66,000 ",88,Artist,4,Entry Level,4,Mid Size
185,Female,41,Adult,"$39,000 ",39,Artist,1,Entry Level,1,small Size
186,Male,30,Adult,"$72,000 ",97,Artist,6,Mid Level,2,small Size
187,Female,54,Senior,"$14,000 ",24,Lawyer,1,Entry Level,2,small Size
188,Male,28,Teenager,"$44,000 ",68,Doctor,5,Mid Level,3,small Size
189,Female,41,Adult,"$76,000 ",17,Engineer,8,Mid Level,2,small Size
190,Female,36,Adult,"$95,000 ",85,Artist,4,Entry Level,2,small Size
191,Female,34,Adult,"$92,000 ",23,Artist,5,Mid Level,3,small Size
192,Female,32,Adult,"$98,000 ",69,Artist,8,Mid Level,2,small Size
193,Male,33,Adult,"$96,000 ",8,Executive,9,Mid Level,2,small Size
194,Female,38,Adult,"$45,000 ",91,Artist,10,Senior Level,4,Mid Size
195,Female,47,Adult,"$8,000 ",16,Artist,7,Mid Level,2,small Size
196,Female,35,Adult,"$46,000 ",79,Executive,1,Entry Level,3,small Size
197,Female,45,Adult,"$78,000 ",28,Artist,0,Entry Level,2,small Size
198,Male,32,Adult,"$4,000 ",74,Artist,1,Entry Level,5,Mid Size
199,Male,32,Adult,"$81,000 ",18,Executive,1,Entry Level,2,small Size
200,Male,30,Adult,"$33,000 ",83,Artist,4,Entry Level,2,small Size
201,Female,21,Teenager,"$40,000 ",10,Healthcare,0,Entry Level,3,small Size
202,Male,34,Adult,"$85,000 ",16,Healthcare,9,Mid Level,3,small Size
203,Female,16,Teenager,"$60,000 ",0,Engineer,6,Mid Level,8,Large size
204,Female,76,Senior,"$60,000 ",39,Healthcare,4,Entry Level,2,small Size
205,Female,62,Senior,"$63,000 ",59,Entertainment,0,Entry Level,2,small Size
206,Female,63,Senior,"$10,000 ",52,Healthcare,8,Mid Level,3,small Size
207,Female,19,Teenager,"$55,000 ",61,Healthcare,0,Entry Level,3,small Size
208,Male,46,Adult,"$93,000 ",12,Artist,2,Entry Level,1,small Size
209,Female,48,Adult,"$15,000 ",7,Doctor,0,Entry Level,2,small Size
210,Female,80,Senior,"$39,000 ",33,Engineer,9,Mid Level,4,Mid Size
211,Female,1,Teenager,"$57,000 ",93,Engineer,1,Entry Level,2,small Size
212,Female,0,Teenager,"$22,000 ",92,Artist,2,Entry Level,1,small Size
213,Male,86,Senior,"$12,000 ",70,Marketing,2,Entry Level,4,Mid Size
214,Male,49,Adult,"$50,000 ",82,Lawyer,8,Mid Level,1,small Size
215,Male,48,Adult,"$95,000 ",68,Doctor,2,Entry Level,4,Mid Size
216,Female,46,Adult,"$66,000 ",70,Healthcare,3,Entry Level,3,small Size
217,Male,79,Senior,"$20,000 ",40,Doctor,6,Mid Level,2,small Size
218,Female,83,Senior,"$35,000 ",99,Doctor,8,Mid Level,2,small Size
219,Female,66,Senior,"$71,000 ",34,Executive,9,Mid Level,2,small Size
220,Female,59,Senior,"$76,000 ",61,Other,9,Mid Level,1,small Size
221,Female,39,Adult,"$84,000 ",33,Artist,5,Mid Level,3,small Size
222,Female,95,Senior,"$72,000 ",51,Engineer,4,Entry Level,2,small Size
223,Male,43,Adult,"$33,000 ",55,Artist,4,Entry Level,3,small Size
224,Female,93,Senior,"$93,000 ",37,Healthcare,1,Entry Level,5,Mid Size
225,Female,40,Adult,"$83,000 ",48,Homemaker,4,Entry Level,1,small Size
226,Female,78,Senior,"$23,000 ",8,Engineer,1,Entry Level,1,small Size
227,Female,25,Teenager,"$40,000 ",77,Artist,5,Mid Level,4,Mid Size
228,Male,76,Senior,"$89,000 ",86,Healthcare,9,Mid Level,4,Mid Size
229,Male,0,Teenager,"$33,000 ",64,Marketing,1,Entry Level,1,small Size
230,Male,15,Teenager,"$94,000 ",30,Healthcare,7,Mid Level,2,small Size
231,Female,6,Teenager,"$93,000 ",53,Lawyer,8,Mid Level,2,small Size
232,Male,84,Senior,"$7,000 ",28,Healthcare,0,Entry Level,4,Mid Size
233,Female,67,Senior,"$18,000 ",88,Lawyer,0,Entry Level,2,small Size
234,Female,78,Senior,"$3,000 ",14,Healthcare,0,Entry Level,4,Mid Size
235,Female,4,Teenager,"$84,000 ",54,Artist,9,Mid Level,1,small Size
236,Female,29,Teenager,"$62,000 ",34,Healthcare,0,Entry Level,4,Mid Size
237,Male,91,Senior,"$9,000 ",96,Healthcare,1,Entry Level,5,Mid Size
238,Male,95,Senior,"$36,000 ",35,Other,0,Entry Level,4,Mid Size
239,Male,55,Senior,"$37,000 ",74,Lawyer,1,Entry Level,4,Mid Size
240,Female,14,Teenager,"$50,000 ",11,Artist,1,Entry Level,2,small Size
241,Male,92,Senior,"$83,000 ",16,Executive,1,Entry Level,5,Mid Size
242,Female,65,Senior,"$79,000 ",17,Artist,0,Entry Level,3,small Size
243,Female,84,Senior,"$40,000 ",14,Healthcare,1,Entry Level,4,Mid Size
244,Female,77,Senior,"$47,000 ",58,Artist,0,Entry Level,6,Mid Size
245,Female,53,Senior,"$4,000 ",20,Artist,0,Entry Level,4,Mid Size
246,Female,28,Teenager,"$38,000 ",75,Entertainment,7,Mid Level,2,small Size
247,Male,23,Teenager,$0 ,96,Doctor,1,Entry Level,3,small Size
248,Female,32,Adult,"$7,000 ",16,Artist,1,Entry Level,2,small Size
249,Female,37,Adult,"$41,000 ",2,Artist,1,Entry Level,2,small Size
250,Female,89,Senior,"$65,000 ",0,Engineer,0,Entry Level,5,Mid Size
251,Male,80,Senior,"$20,000 ",93,Engineer,1,Entry Level,3,small Size
252,Female,27,Teenager,"$44,000 ",65,Doctor,8,Mid Level,1,small Size
253,Female,78,Senior,"$3,000 ",14,Artist,5,Mid Level,4,Mid Size
254,Female,86,Senior,"$72,000 ",13,Lawyer,7,Mid Level,3,small Size
255,Female,46,Adult,"$27,000 ",32,Engineer,4,Entry Level,4,Mid Size
256,Male,59,Senior,"$85,000 ",49,Lawyer,4,Entry Level,2,small Size
257,Male,12,Teenager,"$38,000 ",18,Executive,10,Senior Level,1,small Size
258,Male,79,Senior,"$73,000 ",96,Homemaker,6,Mid Level,7,Large size
259,Female,79,Senior,"$64,000 ",64,Artist,2,Entry Level,3,small Size
260,Male,26,Teenager,"$26,000 ",60,Executive,6,Mid Level,4,Mid Size
261,Female,63,Senior,"$47,000 ",16,Artist,2,Entry Level,3,small Size
262,Female,52,Senior,"$35,000 ",85,Doctor,2,Entry Level,6,Mid Size
263,Female,32,Adult,"$31,000 ",24,Lawyer,2,Entry Level,3,small Size
264,Female,64,Senior,"$13,000 ",38,Engineer,3,Entry Level,4,Mid Size
265,Female,37,Adult,"$79,000 ",10,Homemaker,1,Entry Level,7,Large size
266,Male,7,Teenager,"$82,000 ",39,Entertainment,2,Entry Level,2,small Size
267,Female,40,Adult,"$28,000 ",68,Artist,1,Entry Level,1,small Size
268,Female,78,Senior,"$36,000 ",79,Artist,0,Entry Level,3,small Size
269,Female,34,Adult,"$8,000 ",76,Entertainment,6,Mid Level,6,Mid Size
270,Female,52,Senior,"$88,000 ",39,Artist,1,Entry Level,2,small Size
271,Male,94,Senior,"$91,000 ",36,Entertainment,0,Entry Level,4,Mid Size
272,Female,1,Teenager,"$12,000 ",82,Doctor,0,Entry Level,3,small Size
273,Female,96,Senior,"$1,000 ",76,Entertainment,0,Entry Level,3,small Size
274,Female,18,Teenager,"$143,000 ",99,Artist,0,Entry Level,2,small Size
275,Female,37,Adult,"$18,000 ",57,Artist,1,Entry Level,2,small Size
276,Male,78,Senior,"$65,000 ",89,Lawyer,1,Entry Level,2,small Size
277,Male,16,Teenager,"$9,000 ",88,Executive,7,Mid Level,4,Mid Size
278,Male,93,Senior,"$95,000 ",21,Artist,1,Entry Level,1,small Size
279,Female,74,Senior,"$78,000 ",12,Engineer,9,Mid Level,3,small Size
280,Male,68,Senior,"$48,000 ",73,Healthcare,3,Entry Level,3,small Size
281,Female,32,Adult,"$63,000 ",87,Executive,1,Entry Level,4,Mid Size
282,Female,43,Adult,"$85,000 ",63,Marketing,1,Entry Level,2,small Size
283,Female,52,Senior,"$43,000 ",58,Artist,1,Entry Level,3,small Size
284,Female,63,Senior,"$74,000 ",20,Artist,1,Entry Level,2,small Size
285,Female,33,Adult,"$67,000 ",11,Healthcare,0,Entry Level,1,small Size
286,Male,86,Senior,"$59,000 ",40,Artist,0,Entry Level,1,small Size
287,Female,85,Senior,"$140,000 ",84,Entertainment,1,Entry Level,1,small Size
288,Female,73,Senior,"$31,000 ",47,Healthcare,1,Entry Level,2,small Size
289,Female,21,Teenager,"$5,000 ",91,Marketing,0,Entry Level,1,small Size
290,Female,93,Senior,"$19,000 ",58,Engineer,1,Entry Level,3,small Size
291,Male,9,Teenager,"$27,000 ",62,Entertainment,7,Mid Level,1,small Size
292,Female,10,Teenager,"$68,000 ",80,Doctor,6,Mid Level,3,small Size
293,Male,11,Teenager,"$38,000 ",66,Artist,8,Mid Level,8,Large size
294,Female,48,Adult,"$50,000 ",36,Engineer,6,Mid Level,4,Mid Size
295,Female,73,Senior,"$80,000 ",73,Entertainment,2,Entry Level,2,small Size
296,Female,66,Senior,"$69,000 ",43,Executive,9,Mid Level,3,small Size
297,Female,79,Senior,"$31,000 ",91,Engineer,3,Entry Level,3,small Size
298,Male,62,Senior,"$87,000 ",41,Doctor,6,Mid Level,2,small Size
299,Male,17,Teenager,"$79,000 ",16,Artist,1,Entry Level,3,small Size
300,Male,32,Adult,"$32,000 ",86,Entertainment,5,Mid Level,2,small Size
301,Male,85,Senior,"$153,787 ",100,Entertainment,3,Entry Level,3,small Size
302,Male,31,Adult,"$95,851 ",16,Healthcare,5,Mid Level,2,small Size
303,Female,31,Adult,"$145,015 ",73,Healthcare,6,Mid Level,3,small Size
304,Female,38,Adult,"$148,539 ",7,Healthcare,5,Mid Level,2,small Size
305,Female,90,Senior,"$117,319 ",21,Lawyer,1,Entry Level,2,small Size
306,Female,65,Senior,"$180,243 ",26,Marketing,6,Mid Level,2,small Size
307,Female,63,Senior,"$165,052 ",12,Artist,4,Entry Level,2,small Size
308,Female,61,Senior,"$120,487 ",14,Doctor,0,Entry Level,2,small Size
309,Male,26,Teenager,"$112,766 ",83,Engineer,8,Mid Level,4,Mid Size
310,Female,17,Teenager,"$156,488 ",65,Engineer,1,Entry Level,4,Mid Size
311,Male,56,Senior,"$97,562 ",15,Executive,5,Mid Level,6,Mid Size
312,Female,12,Teenager,"$77,501 ",30,Engineer,5,Mid Level,4,Mid Size
313,Female,24,Teenager,"$118,302 ",100,Lawyer,5,Mid Level,1,small Size
314,Female,13,Teenager,"$64,277 ",9,Executive,9,Mid Level,4,Mid Size
315,Male,12,Teenager,"$53,927 ",77,Doctor,2,Entry Level,3,small Size
316,Male,72,Senior,"$93,921 ",93,Lawyer,9,Mid Level,2,small Size
317,Female,54,Senior,"$132,046 ",8,Homemaker,4,Entry Level,4,Mid Size
318,Male,45,Adult,"$183,217 ",91,Artist,7,Mid Level,2,small Size
319,Male,66,Senior,"$182,937 ",44,Marketing,8,Mid Level,1,small Size
320,Female,27,Teenager,"$68,272 ",56,Healthcare,8,Mid Level,4,Mid Size
321,Male,36,Adult,"$69,841 ",21,Engineer,10,Senior Level,2,small Size
322,Male,5,Teenager,"$69,078 ",60,Lawyer,13,Senior Level,1,small Size
323,Female,89,Senior,"$110,667 ",100,Healthcare,2,Entry Level,4,Mid Size
324,Male,13,Teenager,"$95,469 ",94,Doctor,6,Mid Level,1,small Size
325,Female,91,Senior,"$102,861 ",40,Artist,4,Entry Level,1,small Size
326,Male,16,Teenager,"$133,551 ",7,Artist,3,Entry Level,1,small Size
327,Female,63,Senior,"$64,589 ",90,Engineer,7,Mid Level,1,small Size
328,Male,52,Senior,"$152,755 ",39,Engineer,4,Entry Level,2,small Size
329,Female,37,Adult,"$92,313 ",58,Healthcare,1,Entry Level,5,Mid Size
330,Female,78,Senior,"$98,922 ",2,Artist,2,Entry Level,3,small Size
331,Male,24,Teenager,"$165,846 ",33,Engineer,0,Entry Level,4,Mid Size
332,Female,4,Teenager,"$93,713 ",62,Engineer,3,Entry Level,4,Mid Size
333,Male,84,Senior,"$137,641 ",67,Healthcare,0,Entry Level,5,Mid Size
334,Male,0,Teenager,"$173,743 ",96,Artist,0,Entry Level,4,Mid Size
335,Female,67,Senior,"$116,126 ",58,Entertainment,10,Senior Level,2,small Size
336,Female,32,Adult,"$112,246 ",30,Healthcare,8,Mid Level,3,small Size
337,Female,39,Adult,"$69,384 ",75,Healthcare,1,Entry Level,5,Mid Size
338,Female,68,Senior,"$76,529 ",62,Healthcare,0,Entry Level,2,small Size
339,Female,7,Teenager,"$123,804 ",28,Doctor,14,Senior Level,1,small Size
340,Female,76,Senior,"$68,292 ",55,Artist,8,Mid Level,2,small Size
